MARÍLIA;MARILIA;ADAMANTINA;Adamantina;1;1;0;4;5;2;13;11;8;13;6;2;2;68
SÃO JOSÉ DO RIO PRETO;SAO JOSE DO RIO PRETO;JOSÉ BONIFÁCIO;Adolfo;0;0;0;0;0;1;2;0;0;0;2;0;1;6
SÃO JOÃO DA BOA VISTA;SAO JOAO DA BOA VISTA;MANTIQUEIRA;Aguaí;0;0;1;4;1;1;2;9;5;7;12;14;10;66
SÃO JOÃO DA BOA VISTA;SAO JOAO DA BOA VISTA;MANTIQUEIRA;Águas da Prata;0;0;0;0;2;1;3;7;1;5;6;19;29;73
CAMPINAS;CAMPINAS;CIRCUITO DAS AGUAS;Águas de Lindóia;0;0;0;1;8;4;15;27;35;32;59;68;77;326
BAURU;BOTUCATU;VALE DO JURUMIRIM;Águas de Santa Bárbara;0;0;0;0;2;4;1;0;4;8;10;14;4;47
PIRACICABA;PIRACICABA;PIRACICABA;Águas de São Pedro;0;0;0;0;1;1;2;3;4;4;8;6;6;35
BAURU;BAURU;BAURU;Agudos;3;4;1;2;4;5;8;3;17;30;26;18;10;131
SOROCABA;SOROCABA;ITAPETININGA;Alambari;0;0;0;0;1;0;3;3;2;7;4;7;5;32
PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;ALTA SOROCABANA;Alfredo Marcondes;0;0;0;0;0;0;0;0;0;1;0;1;0;2
BARRETOS;BARRETOS;NORTE-BARRETOS;Altair;0;0;0;0;4;2;5;1;1;1;1;1;0;16
RIBEIRÃO PRETO;RIBEIRAO PRETO;VALE DAS CACHOEIRAS;Altinópolis;1;0;0;1;3;0;3;10;8;9;13;16;27;91
ARAÇATUBA;ARACATUBA;CONSÓRCIOS DO DRS II;Alto Alegre;0;0;0;0;0;0;1;0;0;0;0;1;0;2
SOROCABA;SOROCABA;SOROCABA;Alumínio;1;0;2;3;3;0;7;8;18;14;12;5;8;81
SÃO JOSÉ DO RIO PRETO;SAO JOSE DO RIO PRETO;VOTUPORANGA;Álvares Florence;2;0;0;0;1;3;1;0;3;0;5;1;4;20
PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;ALTA SOROCABANA;Álvares Machado;0;0;0;0;1;2;0;2;5;1;0;0;0;11
MARÍLIA;MARILIA;MARÍLIA;Álvaro de Carvalho;0;0;0;1;2;2;0;1;3;0;0;0;0;9
MARÍLIA;MARILIA;MARÍLIA;Alvinlândia;1;0;0;0;1;1;1;0;0;3;0;1;2;10
CAMPINAS;CAMPINAS;REG METRO CAMPINAS;Americana;5;4;8;11;19;37;47;68;87;73;98;120;136;713
ARARAQUARA;ARARAQUARA;CENTRAL DO DRS III;Américo Brasiliense;0;2;4;0;3;6;14;9;2;3;1;21;7;72
SÃO JOSÉ DO RIO PRETO;SAO JOSE DO RIO PRETO;VOTUPORANGA;Américo de Campos;0;2;2;0;0;2;5;2;7;2;2;3;4;31
CAMPINAS;CAMPINAS;CIRCUITO DAS AGUAS;Amparo;4;1;3;6;6;12;10;13;12;27;43;34;27;198
PIRACICABA;PIRACICABA;RIO CLARO;Analândia;1;2;1;6;10;31;44;51;60;63;81;73;58;481
